Timestamp,Have you read the two most recent Databits issues (spring 2018 and summer 2019)?,"If reading Databits has not interested you, what might increase your interest?","What topics do you like to read about in Databits, select all that are appropriate?","What topics might you be interested to write about in Databits, either for an IM or broader audience?","If you are not interested to contribute a story, can you envision any changes that would make you more likely to contribute?","What is an optimal length for Databits stories, both in terms of the length of story you would like to read and to write (note that Site Bytes does not count here because it is an aggregate)?","There has been lively discussion about the format of Databits (i.e., PDF or a blog model). For the editors, it comes down to continuous versus discrete publishing models. Would you be more likely to read Databits articles if they are distributed first:","How would you like to hear about new Databits content if it were published continuously (as in a blog)? For a sense of frequency, the latest issue had 8 articles (excluding Site Bytes) and was published 15 months after the prior issue.",Do you share Databits content outside of the IM community?,What do you think is Databits’ value to the IM community?,"Please provide any additional thoughts that you would like to share, and note that we are receptive to strong, even inflammatory, opinions so please feel free to comment openly."
8/29/2019 15:59:37,some but not all,I have always been interested in reading the content.,"Personnel updates (Where are they now? Who is the new face?), Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project), History tidbits (DH’s history of LTER IM meetings)","Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old",No,800 to 1.5k words per article (about 4-8 min read),"as a continuous stream of single articles, as in a blog","IM mailing list (one email per new article), Slack",Yes,"IMs take away an overview of what is happening in the community, IMs take away new ideas, a shared publication helps build and engender a sense of community, provides a sandbox for new projects, possibly for subsequent publications, provides a platform for sharing cool tidbits and smaller projects or analyses",Thank you to those that contribute when they can but I fear we are no longer a critical mass to produce our own regular publication but instead we should use blog posts to report on most of the standard topics previously available in Databits and ALSO to promote more IM articles to established and vetted publications.
8/31/2019 11:12:03,"yes, all or most of the content",,"Site IM updates (SiteBytes), Personnel updates (Where are they now? Who is the new face?), International updates, Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project)","Site IM updates (SiteBytes), Personnel updates (Where are they now? Who is the new face?), Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old",,Under 800 words per article (about 3-4 min read),"about the same, as long as I know it is available",IM mailing list (one email per new article),Yes,"IMs take away an overview of what is happening in the community, IMs take away new ideas, a shared publication helps build and engender a sense of community, provides a sandbox for new projects, possibly for subsequent publications, provides a platform for sharing cool tidbits and smaller projects or analyses","I think the name Data""bits"" is appropriate for short articles that could be blog posts. I think of Databits like an IM community newsletter."
9/3/2019 8:49:02,some but not all,,"Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries",,,,"as a continuous stream of single articles, as in a blog",IM mailing list (one email per new article),No,,
9/3/2019 9:17:03,"yes, all or most of the content",,"Site IM updates (SiteBytes), Personnel updates (Where are they now? Who is the new face?), Recaps from meetings, working groups, and Slack conversations, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project), History tidbits (DH’s history of LTER IM meetings)","Site IM updates (SiteBytes), Personnel updates (Where are they now? Who is the new face?), Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project)",,"Under 800 words per article (about 3-4 min read), 800 to 1.5k words per article (about 4-8 min read)","about the same, as long as I know it is available","IM mailing list (one email per new article), Slack",No,"IMs take away an overview of what is happening in the community, IMs take away new ideas, a shared publication helps build and engender a sense of community, provides a sandbox for new projects, possibly for subsequent publications, provides a platform for sharing cool tidbits and smaller projects or analyses, provides sharable, citable record of IM work for disseminating to wider community","While I am interested in most content, a good niche for Databits IMO is content not having a home elsewhere, aka the op-eds, ""cool analysis"", and history options above. Recommendations for IM techniques are also a good idea, but it seems bigger system-level tools like DEIMS or metabase have plenty of spotlight already; so ""tip and tricks"" content might be more appropriate and the bigger stuff can live in ""recap"" posts aggregating resources. In general, plenty of communities have blogs, and it'd be cool if Databits can be something like that for the site-based research data management community (not just LTER, more general to ecology and environment). For that there need be a community feel around it, although I am not sure how to go about building such a thing. "
9/3/2019 11:39:47,some but not all,"Short articles (1-page). I feel like if I need to know more, I will contact relevant IMs for more info.  ","Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project)","Site IM updates (SiteBytes), Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles)","There is always something (e.g. site updates) if it counts as a ""story"". ",Under 800 words per article (about 3-4 min read),"as a discrete issue, all articles at once, most likely annually or bi-annually",IM mailing list (one email per new article),Yes,"IMs take away new ideas, provides a platform for sharing cool tidbits and smaller projects or analyses, provides sharable, citable record of IM work for disseminating to wider community","I think I don't want to feel pressure about writing a long article and knowing it won't have DOI or peer-review standard. Thus, the blog type articles (short) is great for me to write and read about it. In addition, once a year should be sufficient, because IM work doesn't seem to have frequent significant updates.  "
9/3/2019 16:19:43,some but not all,,"Site IM updates (SiteBytes), Personnel updates (Where are they now? Who is the new face?), International updates, Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project), History tidbits (DH’s history of LTER IM meetings)","Site IM updates (SiteBytes), Personnel updates (Where are they now? Who is the new face?), Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project), History tidbits (DH’s history of LTER IM meetings)",,800 to 1.5k words per article (about 4-8 min read),"about the same, as long as I know it is available",IM mailing list (one email per new article),Yes,"IMs take away an overview of what is happening in the community, IMs take away new ideas, provides a platform for sharing cool tidbits and smaller projects or analyses, provides sharable, citable record of IM work for disseminating to wider community",
9/6/2019 6:03:49,some but not all,"Generally need reminders for reading the various newsletters and other communications. Databits are announced via email but it can get lost and buried with other communications. I find I read Databits when I realize a need to learn something or another IM says ""check out such and such article in Databits"".","Site IM updates (SiteBytes), Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), History tidbits (DH’s history of LTER IM meetings)",Site IM updates (SiteBytes),Blog type entries,Under 800 words per article (about 3-4 min read),"as a continuous stream of single articles, as in a blog","IM mailing list (one email per new article), Slack",No,"IMs take away an overview of what is happening in the community, IMs take away new ideas, provides a sandbox for new projects, possibly for subsequent publications, provides a platform for sharing cool tidbits and smaller projects or analyses",
9/6/2019 6:07:43,some but not all,,"Site IM updates (SiteBytes), Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project), History tidbits (DH’s history of LTER IM meetings)","Site IM updates (SiteBytes), Recommendations for IM techniques/technologies/tools, new or old, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project)",,"Under 800 words per article (about 3-4 min read), 800 to 1.5k words per article (about 4-8 min read)","as a continuous stream of single articles, as in a blog",IM mailing list (one email per new article),Yes,"IMs take away an overview of what is happening in the community, IMs take away new ideas, a shared publication helps build and engender a sense of community, provides a sandbox for new projects, possibly for subsequent publications, provides a platform for sharing cool tidbits and smaller projects or analyses, provides sharable, citable record of IM work for disseminating to wider community",
9/6/2019 6:25:28,not yet but still planning to,,"Recommendations for IM techniques/technologies/tools, new or old","Recommendations for IM techniques/technologies/tools, new or old",,Under 800 words per article (about 3-4 min read),"as a continuous stream of single articles, as in a blog",IM mailing list (one email per new article),No,"provides a platform for sharing cool tidbits and smaller projects or analyses, provides sharable, citable record of IM work for disseminating to wider community",
9/6/2019 19:30:04,some but not all,,"Recaps from meetings, working groups, and Slack conversations, Recommendations for IM techniques/technologies/tools, new or old, Reading recommendations (Useful best practices, resources, articles), Op-eds, reflections, and commentaries, Analyses of interest with cool graphs (JP’s analyses of keyword use, durations, locations in data pkgs, GB’s common EML patterns project)",,"There is very little incentive to contribute to Databits. Providing a greater sense of purpose, such as identifying articles that would address a particular problem or need might be helpful.",800 to 1.5k words per article (about 4-8 min read),"as a continuous stream of single articles, as in a blog","IM mailing list (one email per new article), Twitter, Slack",No,"provides a sandbox for new projects, possibly for subsequent publications, provides a platform for sharing cool tidbits and smaller projects or analyses","Databits published as a PDF is really quite anachronistic, and a web-centric, blog-style format should absolutely be the path forward. I think a blog would greatly increase the readability of Databits, and, rather obviously, the ability to share and reference content. A blog would also allow for more timely release of content. I am not confident that content like SiteBytes and personnel updates lend themselves well to a blog so am not sure that those should carry forward; some of that content, like personnel updates, could be featured in the NCO or other newsletters (in fact, that is probably a better venue). It seems that the optimal niche for Databits is ideas that are not rich or fleshed-out enough for a journal submission but that would be of interest to the community, and that, ideally, could be developed into a journal submission. With that in mind, perhaps having content center on a pressing, emerging, or important theme would be an approach that would increase the utility of Databits and interest in the content."
